khoảng cách trên,khoảng cách dưới
0.696,0.789,07_00_07
0,0.411,07_00_08
0.842,1.106,07_00_26
0,0,07_00_28
0.54,0,07_00_29
0.616,0.675,07_00_30
0.727,0.713,07_00_32
0.536,0.685,07_00_34
0.543,0.71,07_00_37
0.569,0.877,07_00_40
0.656,0.822,07_00_43
0.69,0.897,07_00_46
0,0,07_00_48
0,0.899,07_00_51
0,0.781,07_00_54
0.576,0.71,07_00_57
0,0,07_01_00
0.734,0.879,07_01_01
0.595,0.784,07_01_03
0.37,0.529,07_01_05
0,0,07_01_06
0.606,0.577,07_28_23
0.632,0.753,07_28_24
0.623,0.758,07_28_38
0.646,0.754,07_28_39
0.597,0.828,07_28_41
0.655,0.757,07_28_42
0.622,0.744,07_28_44
0.634,0.818,07_28_46
0.653,0.837,07_28_47
0.636,0.825,07_28_49
0.647,0.774,07_34_35
0.654,0.78,07_34_37
0.65,0.746,07_34_38
0.624,0.785,07_34_40
0.605,0.785,07_34_42
0.583,0.935,07_34_44
0.615,0.74,07_34_45
0.623,0.745,07_34_47
0.588,0.758,07_35_00
0.603,0.795,07_35_01
0.65,0.831,07_35_03
0.64,0.788,07_35_05
0.613,0.754,07_35_06
0.577,0.742,07_35_08
0.629,0.741,07_35_10
0.679,0.835,07_35_11
0.638,0.732,07_36_26
0.605,0.756,07_36_27
0.601,0.795,07_36_28
0.645,0.75,07_36_30
0.617,0.793,07_36_32
0.636,0.783,07_36_33
0.642,0.829,07_36_36
0.661,0.739,07_36_38
0.641,0.794,07_36_40
0.674,0.818,07_36_42
0.556,0.738,07_39_34
0.739,0.774,07_39_36
0.55,0.79,07_39_37
0.617,0.769,07_39_42
0.556,0.83,07_40_34
0.573,0.885,07_40_36
0.68,0.85,07_40_38
0.68,0.796,07_40_40
0.683,0.847,07_40_42
0.636,0.813,07_40_43
0.673,0.817,07_40_45
0.689,0.82,07_40_46
0.696,0.86,07_40_48
0.707,0.854,07_40_49
0.684,0.851,07_40_52
0.66,0.802,07_40_53
0.651,0.819,07_40_55
0.623,0.806,07_40_57
0.704,0.829,07_40_59
0.719,0.833,07_41_00
0.657,0.901,07_41_02
0.704,0.859,07_41_03
0.773,0.901,07_41_24
0.708,0.884,07_41_26
0.734,0.889,07_41_27
0.665,0.864,07_41_29
0.668,0.864,07_43_19
0.683,0.906,07_43_20
0.677,0.833,07_43_22
0.81,0.857,07_43_24
0.669,0.886,07_43_29
0.665,0.877,07_46_50
0.677,0.818,07_46_53
0.674,0.869,07_46_54
0.688,0.827,07_46_56
0.63,0.843,07_46_58
0.673,0.884,07_46_59
0.688,0.872,07_47_01
0.675,0.909,07_47_03
0.657,0.885,07_47_04
0.642,0.847,07_47_06
0.662,0.87,07_47_07
0.669,0.881,07_47_09
0.645,0.851,07_47_10
0.661,0.902,07_47_12
0.688,0.819,07_47_14
0.628,0.844,07_47_16
0.715,0.889,07_47_17
0.655,0.821,07_47_18
0.612,0.797,07_47_20
0.62,0.879,07_47_22
0.652,0.829,07_47_23
0.638,0.813,07_47_25
0.673,0.829,07_47_27
0.738,0.838,07_47_28
0.741,0.983,07_47_30
0.716,0.907,07_47_31
0.653,0.946,07_47_33
0.678,0.901,07_47_35
0.677,0.908,07_47_36
0.648,0.891,07_47_38
0.665,0.957,07_47_39
0.674,0.905,07_47_41
0.659,0.885,07_47_43
0.611,0.871,07_47_44
0.686,0.912,07_47_46
0.688,0.89,07_47_48
0.693,0.874,07_47_49
0.656,0.96,07_47_51
0.74,0.881,07_47_52
0.711,0.88,07_47_54
0.654,0.909,07_47_55
0.683,0.864,07_47_57
0.672,0.954,07_47_59
0.656,0.912,07_48_00
0.684,0.905,07_48_02
0.696,0.85,07_48_04
0.69,0.854,07_48_05
0.745,0.786,07_48_07
0.752,0.883,07_48_09
0.767,0.881,07_48_10
0.725,0.864,07_48_12
0.69,0.871,07_48_13
0.705,0.814,07_48_15
0.665,0.823,07_48_17
0.641,0.814,07_48_18
0.644,0.818,07_48_20
0.631,0.893,07_48_22
0.692,0.825,07_48_23
0.645,0.972,07_48_25
0.715,0.868,07_48_27
0.709,0.831,07_48_28
0.657,0.857,07_48_30
0.667,0.878,07_48_31
0.66,0.857,07_48_33
0.677,0,07_48_34
0.653,0.887,07_48_36
0.687,0.866,07_48_38
0.637,0.877,07_48_39
0.686,0.826,07_48_41
0.655,0.829,07_48_43
0.698,0.8,07_48_44
0.721,0.833,07_48_46
0.672,0.8,07_48_48
0.715,0.86,07_48_49
0.689,0.841,07_48_51
0.691,0.845,07_48_52
0.637,0.797,07_48_54
0.611,0.919,07_48_55
0.656,0.816,07_48_57
0.638,0.855,07_48_59
0.7,0.778,07_49_01
0.692,0.838,07_49_02
0.707,0.789,07_49_04
0.708,0.874,07_49_05
0.685,0.853,07_49_07
0.726,0.909,07_49_08
0.634,0.887,07_49_10
0.702,0.829,07_49_11
0.681,0.793,07_49_13
0.693,0.788,07_49_15
0.811,0.813,07_49_16
0.66,0.773,07_49_18
0.657,0.794,07_49_20
0.664,0.861,07_49_21
0.693,0.844,07_49_23
0.702,0.846,07_49_24
0.657,0.857,07_49_26
0.662,0.887,07_49_28
0.633,0.868,07_49_29
0.664,0.858,07_49_31
0.699,0.872,07_49_33
0.72,0.84,07_49_34
0.637,0.83,07_49_36
0.715,0.869,07_49_37
0.678,0.798,07_49_39
0.667,0.859,07_49_41
0.669,0.801,07_49_42
0.733,0.759,07_49_44
0.651,0.853,07_49_45
0.664,0.814,07_49_47
0.665,0.858,07_54_56
0.691,0.821,07_54_58
0.691,0.822,07_54_59
0.697,0.862,07_55_01
0.679,0.817,07_55_02
0.658,0.824,07_55_04
0.663,0.839,07_55_06
0.693,0.883,07_55_07
0.677,0.825,07_56_54
0.637,0.859,07_56_56
0.685,0.777,07_56_57
0.693,0.806,07_56_59
0.67,0.831,07_57_01
0.664,0.845,07_57_02
0.565,0.808,07_57_04
0.7,0.818,07_57_05
0.631,0.87,07_57_07
0.675,0.859,07_57_29
0.659,0.814,07_57_30
0.676,0.85,07_57_32
0.636,0.843,07_57_34
0.71,0.884,07_57_35
0.681,0.905,07_57_37
0.801,0.882,07_57_39
0.695,0.858,08_00_55
0.711,0.883,08_00_56
0.777,0.85,08_00_58
0.677,0.873,08_01_00
0.678,0.825,08_01_01
0.684,0.912,08_01_03
0.686,0.91,08_01_05
0.671,0.815,08_01_06
0.675,0.869,08_01_08
0.687,0.878,08_01_09
0.688,0.897,08_01_11
0.692,0.901,08_05_56
0.733,0.833,08_06_51
0.696,0.847,08_06_53
0.685,0.843,08_06_54
0.71,0.82,08_07_33
0.736,0.84,08_07_58
0.653,0.848,08_08_00
0.723,0.811,08_08_01
0.7,0.851,08_08_55
0.705,0.793,08_08_58
0.7,0.813,08_08_59
0.705,0.808,08_09_01
0.628,0.849,08_09_03
0.669,0.765,08_09_04
0.689,0.82,08_09_06
0.686,0.822,08_09_07
0.67,0.841,08_09_09
0.639,0.952,08_09_11
0.701,0.8,08_09_12
0.626,0.841,08_14_21
0.661,0.838,08_14_23
0.682,0.855,08_14_24
0.673,0.883,08_14_26
0.649,0.802,08_14_27
0.764,0.84,08_14_29
0.759,0.751,08_14_31
0.698,0.822,08_14_32
0.713,0.823,08_14_34
0.717,0.887,08_14_36
0.681,0.808,08_14_37
0.704,0.889,08_14_39
0.65,0.841,08_14_40
0.688,0.895,08_14_42
0.706,0.782,08_14_43
0.676,0.913,08_15_08
0.645,0.864,08_15_52
0.719,0.88,08_15_53
0.684,0.88,08_15_55
0.703,0.812,08_16_17
0.677,0.963,08_16_19
0.728,0.843,08_16_21
0.679,0.847,08_16_23
0.675,0.868,08_17_19
0.656,0.763,08_17_20
0.708,0.779,08_17_22
0.664,0.773,08_17_24
0.733,0,08_17_25
0.658,0.867,08_17_31
0.702,0.782,08_17_32
0.66,0.794,08_17_34
0.647,0.788,08_17_35
0.634,0.882,08_17_37
0.701,0.809,08_17_39
0.674,0.847,08_17_40
0.641,0.867,08_17_42
0.655,0.85,08_17_44
0.747,0.83,08_17_45
0.66,0.824,08_17_47
0.705,0.791,08_17_48
0.696,0.853,08_17_50
0.74,0.867,08_17_52
0.723,0.83,08_17_53
0.706,0.823,08_17_55
0.637,0.855,08_17_57
0.653,0.853,08_17_58
0.706,0.855,08_18_00
0.7,0.865,08_18_02
0.741,0.79,08_18_03
0.731,0.861,08_18_05
0.656,0.865,08_18_07
0.732,0.863,08_18_08
0.66,0.99,08_18_10
0.677,0.799,08_18_12
0.678,0.915,08_18_13
0.673,0.904,08_18_15
0.685,0.879,08_18_17
0.692,0.854,08_18_18
0.692,0.861,08_18_20
0.661,0.823,08_18_22
0.711,0.83,08_18_23
0.663,0.876,08_18_25
0.675,0.802,08_18_27
0.715,0.803,08_18_28
0.664,0.783,08_18_30
0.695,0.841,08_18_31
0.677,0.878,08_18_33
0.648,0.871,08_18_35
0.693,0.888,08_18_36
0.718,0.854,08_18_38
0.735,0.819,08_18_40
0.709,0.806,08_18_42
0.72,0.85,08_18_43
0.722,0.863,08_18_45
0.716,0.874,08_18_47
0.685,0.828,08_18_48
0.798,0.836,08_18_50
0.659,0.848,08_18_52
0.696,0.849,08_18_53
0.711,0.858,08_19_09
0.67,0.876,08_19_10
0.7,0.896,08_19_12
0.705,0.825,08_19_14
0.752,0.875,08_19_16
0.672,0.839,08_19_17
0.699,0.777,08_19_19
0.725,0.842,08_19_23
0.72,0.835,08_19_24
0.704,0.778,08_19_26
0.669,0.847,08_19_28
0.679,0.841,08_19_29
0.7,0.854,08_19_31
0.689,0.966,08_19_32
0.651,0.826,08_19_34
0.699,0.823,08_19_35
0.648,0.802,08_19_37
0.665,0.83,08_19_39
0.684,0.851,08_19_41
0.707,0.849,08_19_42
0.73,0.848,08_19_44
0.69,0.848,08_19_45
0.702,0.853,08_19_47
0.648,0.82,08_19_48
0.778,0.823,08_19_50
0.63,0.848,08_19_52
0.678,0.801,08_19_53
0.704,0.873,08_19_55
0.722,0.797,08_19_56
0.672,0.868,08_19_58
0.685,0.836,08_22_53
0.646,0.857,08_23_07
0.708,0.886,08_23_08
0.707,0.856,08_23_10
0.647,0.904,08_23_11
0.799,0.915,08_23_13
0.677,0.912,08_23_14
0.664,0.844,08_23_16
0.684,0.887,08_23_18
0.746,0.896,08_23_19
0.69,0.811,08_23_21
0.711,0.841,08_24_27
0.728,0.862,08_24_29
0.601,0.883,08_24_31
0.695,0.843,08_24_32
0.665,0.801,08_24_34
0.69,0.855,08_24_35
0.677,0.809,08_24_37
0.771,0.875,08_24_38
0.647,0.857,08_24_40
0.638,0.82,08_29_07
0.676,0.835,08_29_21
0.672,0.835,08_29_22
0.664,0.814,08_29_24
0.664,0.76,08_29_26
0.641,0.827,08_29_27
0.7,0.819,08_29_29
0.708,0.908,08_29_31
0.682,0.901,08_29_38
0.674,0.828,08_30_01
0.666,0.964,08_30_03
0.65,0.831,08_30_04
0.774,0.784,08_30_06
0.717,0.871,08_30_08
0.643,0.856,08_30_09
0.67,0.893,08_30_11
0.67,0.893,08_30_12
0.682,0.907,08_30_14
0.65,0.851,08_30_16
0.667,0.889,08_30_17
0.714,0.882,08_30_19
0.682,0.803,08_30_20
0.651,0.835,08_30_22
0.669,0.848,08_30_24
0.742,0.837,08_30_25
0.72,0.863,08_30_27
0.7,0.858,08_30_28
0.688,0.838,08_30_30
0.691,0.828,08_30_47
0.663,0.949,08_30_49
0.663,0.819,08_30_51
0.635,0.866,08_30_52
0.624,0.882,08_30_54
0.651,0.844,08_30_55
0.652,0.809,08_30_57
0.689,0.887,08_30_58
0.654,0.815,08_31_00
0.676,0.868,08_31_02
0.689,0.854,08_31_03
0.7,0.793,08_31_05
0.691,0.847,08_31_07
0.671,0.944,08_31_08
0.696,0.854,08_31_10
0.739,0.901,08_31_12
0.611,0.924,08_31_13
0.689,0.809,08_31_15
